filename,relative_path,category,extension,mime_type,file_size_bytes,file_size_kb,file_size_mb,width,height,duration_seconds,fps,codec,sample_rate,channels,page_count,text_length,line_count,character_count,comment_line_count,blank_line_count
validate_dataset.py,validate_dataset.py,Code,py,text/x-python,381,0.37,0.0,,,,,,,,,,15,381,3,3
1.wav,audio/1.wav,Audio,wav,audio/wav,437804,427.54,0.42,,,2.48,,pcm_s16le,44100,2,,,,,,
10.wav,audio/10.wav,Audio,wav,audio/wav,520748,508.54,0.5,,,2.95,,pcm_s16le,44100,2,,,,,,
100.wav,audio/100.wav,Audio,wav,audio/wav,373292,364.54,0.36,,,2.12,,pcm_s16le,44100,2,,,,,,
101.wav,audio/101.wav,Audio,wav,audio/wav,1493050,1458.06,1.42,,,2.12,,pcm_f64le,44100,2,,,,,,
102.wav,audio/102.wav,Audio,wav,audio/wav,373292,364.54,0.36,,,2.12,,pcm_s16le,44100,2,,,,,,
103.wav,audio/103.wav,Audio,wav,audio/wav,502316,490.54,0.48,,,2.85,,pcm_s16le,44100,2,,,,,,
104.wav,audio/104.wav,Audio,wav,audio/wav,2009146,1962.06,1.92,,,2.85,,pcm_f64le,44100,2,,,,,,
105.wav,audio/105.wav,Audio,wav,audio/wav,502316,490.54,0.48,,,2.85,,pcm_s16le,44100,2,,,,,,
106.wav,audio/106.wav,Audio,wav,audio/wav,497708,486.04,0.47,,,2.82,,pcm_s16le,44100,2,,,,,,
107.wav,audio/107.wav,Audio,wav,audio/wav,1990714,1944.06,1.9,,,2.82,,pcm_f64le,44100,2,,,,,,
108.wav,audio/108.wav,Audio,wav,audio/wav,497708,486.04,0.47,,,2.82,,pcm_s16le,44100,2,,,,,,
109.wav,audio/109.wav,Audio,wav,audio/wav,456236,445.54,0.44,,,2.59,,pcm_s16le,44100,2,,,,,,
11.wav,audio/11.wav,Audio,wav,audio/wav,2082874,2034.06,1.99,,,2.95,,pcm_f64le,44100,2,,,,,,
110.wav,audio/110.wav,Audio,wav,audio/wav,1824826,1782.06,1.74,,,2.59,,pcm_f64le,44100,2,,,,,,
111.wav,audio/111.wav,Audio,wav,audio/wav,456236,445.54,0.44,,,2.59,,pcm_s16le,44100,2,,,,,,
114.wav,audio/114.wav,Audio,wav,audio/wav,562220,549.04,0.54,,,3.19,,pcm_s16le,44100,2,,,,,,
116.wav,audio/116.wav,Audio,wav,audio/wav,1916986,1872.06,1.83,,,2.72,,pcm_f64le,44100,2,,,,,,
117.wav,audio/117.wav,Audio,wav,audio/wav,479276,468.04,0.46,,,2.72,,pcm_s16le,44100,2,,,,,,
118.wav,audio/118.wav,Audio,wav,audio/wav,543788,531.04,0.52,,,3.08,,pcm_s16le,44100,2,,,,,,
12.wav,audio/12.wav,Audio,wav,audio/wav,520748,508.54,0.5,,,2.95,,pcm_s16le,44100,2,,,,,,
120.wav,audio/120.wav,Audio,wav,audio/wav,543788,531.04,0.52,,,3.08,,pcm_s16le,44100,2,,,,,,
121.wav,audio/121.wav,Audio,wav,audio/wav,447020,436.54,0.43,,,2.53,,pcm_s16le,44100,2,,,,,,
122.wav,audio/122.wav,Audio,wav,audio/wav,1787962,1746.06,1.71,,,2.53,,pcm_f64le,44100,2,,,,,,
126.wav,audio/126.wav,Audio,wav,audio/wav,580652,567.04,0.55,,,3.29,,pcm_s16le,44100,2,,,,,,
127.wav,audio/127.wav,Audio,wav,audio/wav,529964,517.54,0.51,,,3.0,,pcm_s16le,44100,2,,,,,,
129.wav,audio/129.wav,Audio,wav,audio/wav,529964,517.54,0.51,,,3.0,,pcm_s16le,44100,2,,,,,,
133.wav,audio/133.wav,Audio,wav,audio/wav,456236,445.54,0.44,,,2.59,,pcm_s16le,44100,2,,,,,,
137.wav,audio/137.wav,Audio,wav,audio/wav,2433082,2376.06,2.32,,,3.45,,pcm_f64le,44100,2,,,,,,
139.wav,audio/139.wav,Audio,wav,audio/wav,497708,486.04,0.47,,,2.82,,pcm_s16le,44100,2,,,,,,
14.wav,audio/14.wav,Audio,wav,audio/wav,1861690,1818.06,1.78,,,2.64,,pcm_f64le,44100,2,,,,,,
140.wav,audio/140.wav,Audio,wav,audio/wav,1990714,1944.06,1.9,,,2.82,,pcm_f64le,44100,2,,,,,,
144.wav,audio/144.wav,Audio,wav,audio/wav,456236,445.54,0.44,,,2.59,,pcm_s16le,44100,2,,,,,,
145.wav,audio/145.wav,Audio,wav,audio/wav,677420,661.54,0.65,,,3.84,,pcm_s16le,44100,2,,,,,,
147.wav,audio/147.wav,Audio,wav,audio/wav,677420,661.54,0.65,,,3.84,,pcm_s16le,44100,2,,,,,,
148.wav,audio/148.wav,Audio,wav,audio/wav,419372,409.54,0.4,,,2.38,,pcm_s16le,44100,2,,,,,,
149.wav,audio/149.wav,Audio,wav,audio/wav,1677370,1638.06,1.6,,,2.38,,pcm_f64le,44100,2,,,,,,
150.wav,audio/150.wav,Audio,wav,audio/wav,419372,409.54,0.4,,,2.38,,pcm_s16le,44100,2,,,,,,
151.wav,audio/151.wav,Audio,wav,audio/wav,437804,427.54,0.42,,,2.48,,pcm_s16le,44100,2,,,,,,
153.wav,audio/153.wav,Audio,wav,audio/wav,437804,427.54,0.42,,,2.48,,pcm_s16le,44100,2,,,,,,
154.wav,audio/154.wav,Audio,wav,audio/wav,626732,612.04,0.6,,,3.55,,pcm_s16le,44100,2,,,,,,
155.wav,audio/155.wav,Audio,wav,audio/wav,2506810,2448.06,2.39,,,3.55,,pcm_f64le,44100,2,,,,,,
156.wav,audio/156.wav,Audio,wav,audio/wav,626732,612.04,0.6,,,3.55,,pcm_s16le,44100,2,,,,,,
159.wav,audio/159.wav,Audio,wav,audio/wav,400940,391.54,0.38,,,2.27,,pcm_s16le,44100,2,,,,,,
16.wav,audio/16.wav,Audio,wav,audio/wav,488492,477.04,0.47,,,2.77,,pcm_s16le,44100,2,,,,,,
160.wav,audio/160.wav,Audio,wav,audio/wav,695852,679.54,0.66,,,3.94,,pcm_s16le,44100,2,,,,,,
161.wav,audio/161.wav,Audio,wav,audio/wav,2783290,2718.06,2.65,,,3.94,,pcm_f64le,44100,2,,,,,,
162.wav,audio/162.wav,Audio,wav,audio/wav,695852,679.54,0.66,,,3.94,,pcm_s16le,44100,2,,,,,,
163.wav,audio/163.wav,Audio,wav,audio/wav,456236,445.54,0.44,,,2.59,,pcm_s16le,44100,2,,,,,,
164.wav,audio/164.wav,Audio,wav,audio/wav,1824826,1782.06,1.74,,,2.59,,pcm_f64le,44100,2,,,,,,
166.wav,audio/166.wav,Audio,wav,audio/wav,571436,558.04,0.54,,,3.24,,pcm_s16le,44100,2,,,,,,
167.wav,audio/167.wav,Audio,wav,audio/wav,2285626,2232.06,2.18,,,3.24,,pcm_f64le,44100,2,,,,,,
168.wav,audio/168.wav,Audio,wav,audio/wav,571436,558.04,0.54,,,3.24,,pcm_s16le,44100,2,,,,,,
169.wav,audio/169.wav,Audio,wav,audio/wav,529964,517.54,0.51,,,3.0,,pcm_s16le,44100,2,,,,,,
17.wav,audio/17.wav,Audio,wav,audio/wav,1953850,1908.06,1.86,,,2.77,,pcm_f64le,44100,2,,,,,,
170.wav,audio/170.wav,Audio,wav,audio/wav,2119738,2070.06,2.02,,,3.0,,pcm_f64le,44100,2,,,,,,
171.wav,audio/171.wav,Audio,wav,audio/wav,529964,517.54,0.51,,,3.0,,pcm_s16le,44100,2,,,,,,
172.wav,audio/172.wav,Audio,wav,audio/wav,479276,468.04,0.46,,,2.72,,pcm_s16le,44100,2,,,,,,
174.wav,audio/174.wav,Audio,wav,audio/wav,479276,468.04,0.46,,,2.72,,pcm_s16le,44100,2,,,,,,
177.wav,audio/177.wav,Audio,wav,audio/wav,612908,598.54,0.58,,,3.47,,pcm_s16le,44100,2,,,,,,
179.wav,audio/179.wav,Audio,wav,audio/wav,1824826,1782.06,1.74,,,2.59,,pcm_f64le,44100,2,,,,,,
18.wav,audio/18.wav,Audio,wav,audio/wav,488492,477.04,0.47,,,2.77,,pcm_s16le,44100,2,,,,,,
181.wav,audio/181.wav,Audio,wav,audio/wav,387116,378.04,0.37,,,2.19,,pcm_s16le,44100,2,,,,,,
183.wav,audio/183.wav,Audio,wav,audio/wav,387116,378.04,0.37,,,2.19,,pcm_s16le,44100,2,,,,,,
184.wav,audio/184.wav,Audio,wav,audio/wav,433196,423.04,0.41,,,2.46,,pcm_s16le,44100,2,,,,,,
186.wav,audio/186.wav,Audio,wav,audio/wav,433196,423.04,0.41,,,2.46,,pcm_s16le,44100,2,,,,,,
187.wav,audio/187.wav,Audio,wav,audio/wav,576044,562.54,0.55,,,3.27,,pcm_s16le,44100,2,,,,,,
188.wav,audio/188.wav,Audio,wav,audio/wav,2304058,2250.06,2.2,,,3.27,,pcm_f64le,44100,2,,,,,,
189.wav,audio/189.wav,Audio,wav,audio/wav,576044,562.54,0.55,,,3.27,,pcm_s16le,44100,2,,,,,,
190.wav,audio/190.wav,Audio,wav,audio/wav,364076,355.54,0.35,,,2.06,,pcm_s16le,44100,2,,,,,,
191.wav,audio/191.wav,Audio,wav,audio/wav,1456186,1422.06,1.39,,,2.06,,pcm_f64le,44100,2,,,,,,
192.wav,audio/192.wav,Audio,wav,audio/wav,364076,355.54,0.35,,,2.06,,pcm_s16le,44100,2,,,,,,
193.wav,audio/193.wav,Audio,wav,audio/wav,410156,400.54,0.39,,,2.32,,pcm_s16le,44100,2,,,,,,
196.wav,audio/196.wav,Audio,wav,audio/wav,451628,441.04,0.43,,,2.56,,pcm_s16le,44100,2,,,,,,
197.wav,audio/197.wav,Audio,wav,audio/wav,1806394,1764.06,1.72,,,2.56,,pcm_f64le,44100,2,,,,,,
198.wav,audio/198.wav,Audio,wav,audio/wav,451628,441.04,0.43,,,2.56,,pcm_s16le,44100,2,,,,,,
2.wav,audio/2.wav,Audio,wav,audio/wav,1751098,1710.06,1.67,,,2.48,,pcm_f64le,44100,2,,,,,,
20.wav,audio/20.wav,Audio,wav,audio/wav,1880122,1836.06,1.79,,,2.66,,pcm_f64le,44100,2,,,,,,
200.wav,audio/200.wav,Audio,wav,audio/wav,2175034,2124.06,2.07,,,3.08,,pcm_f64le,44100,2,,,,,,
201.wav,audio/201.wav,Audio,wav,audio/wav,543788,531.04,0.52,,,3.08,,pcm_s16le,44100,2,,,,,,
