filename,relative_path,category,extension,mime_type,file_size_bytes,file_size_kb,file_size_mb,width,height,duration_seconds,fps,codec,sample_rate,channels,page_count,text_length,line_count,character_count,comment_line_count,blank_line_count
video_056.mp4,Video/video_056.mp4,Video,mp4,video/mp4,11030547,10772.02,10.52,1920.0,1036.0,29.99,23.98,,,,,,,,,
video_007.mp4,Video/video_007.mp4,Video,mp4,video/mp4,21025958,20533.16,20.05,1920.0,1036.0,29.99,23.98,,,,,,,,,
127225115.java,code/1459/C/127225115.java,Code,java,text/x-java-source,5428,5.3,0.01,,,,,,,,,,555.0,5127.0,18.0,336.0
video_090.mp4,Video/video_090.mp4,Video,mp4,video/mp4,20837620,20349.24,19.87,1920.0,1036.0,29.99,23.98,,,,,,,,,
video_065.mp4,Video/video_065.mp4,Video,mp4,video/mp4,16048263,15672.13,15.3,1920.0,1036.0,30.03,23.98,,,,,,,,,
Screenshot (709).png,images/Screenshot (709).png,Image,png,image/png,1515894,1480.37,1.45,1920.0,1080.0,,,,,,,,,,,
Screenshot (472).png,images/Screenshot (472).png,Image,png,image/png,129099,126.07,0.12,1920.0,1080.0,,,,,,,,,,,
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV.doc,Doc/Doc/FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV.doc,Document,doc,application/msword,38104,37.21,0.04,,,,,,,,,38104.0,,,,
YAXK7IA4W3QHHZRCYOHF3TJUMR2V32KE.doc,Doc/Doc/YAXK7IA4W3QHHZRCYOHF3TJUMR2V32KE.doc,Document,doc,application/msword,38656,37.75,0.04,,,,,,,,,38656.0,,,,
90.wav,audio/90.wav,Audio,wav,audio/wav,377900,369.04,0.36,,,2.14,,pcm_s16le,44100.0,2.0,,,,,,
141435973.java,code/1477/B/141435973.java,Code,java,text/x-java-source,6771,6.61,0.01,,,,,,,,,,426.0,6558.0,5.0,238.0
fb8c6201bfd519374fe7aba9648e678df1b4492d.pdf,Pdf/fb8c6201bfd519374fe7aba9648e678df1b4492d.pdf,Document,pdf,application/pdf,406136,396.62,0.39,,,,,,,,1.0,40613.0,,,,
164349288.cpp,code/1439/A2/164349288.cpp,Code,cpp,text/x-c++,12750,12.45,0.01,,,,,,,,,,530.0,12485.0,41.0,288.0
189431898.py,code/189431898.py,Code,py,text/x-python,351,0.34,0.0,,,,,,,,,,36.0,333.0,0.0,22.0
192.wav,audio/192.wav,Audio,wav,audio/wav,364076,355.54,0.35,,,2.06,,pcm_s16le,44100.0,2.0,,,,,,
ADYF6YEDFBWOGKPODVGYMTVM4VRY2C5K.doc,Doc/Doc/ADYF6YEDFBWOGKPODVGYMTVM4VRY2C5K.doc,Document,doc,application/msword,70072,68.43,0.07,,,,,,,,,70072.0,,,,
QZ74K7KFE4OPYKEUIOXGTTM6Q73UJP4C.pdf,Pdf/QZ74K7KFE4OPYKEUIOXGTTM6Q73UJP4C.pdf,Document,pdf,application/pdf,5022043,4904.34,4.79,,,,,,,,1.0,50000.0,,,,
4CWINULHRRVWF33LXZE4U5EEHETC2SI6.docx,Docx/Docx/4CWINULHRRVWF33LXZE4U5EEHETC2SI6.docx,Document,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,353370,345.09,0.34,,,,,,,,,353370.0,,,,
167082172.py,code/1512/A/167082172.py,Code,py,text/x-python,279,0.27,0.0,,,,,,,,,,27.0,266.0,0.0,13.0
168.wav,audio/168.wav,Audio,wav,audio/wav,571436,558.04,0.54,,,3.24,,pcm_s16le,44100.0,2.0,,,,,,
Orders-With Nulls.docx,Docx/Docx/Orders-With Nulls.docx,Document,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,92635,90.46,0.09,,,,,,,,,92635.0,,,,
MVB3NUAZBLEVULOZQYWDXHOLA46NEJXI.pdf,Pdf/MVB3NUAZBLEVULOZQYWDXHOLA46NEJXI.pdf,Document,pdf,application/pdf,375499,366.7,0.36,,,,,,,,1.0,37549.0,,,,
331.wav,audio/331.wav,Audio,wav,audio/wav,410156,400.54,0.39,,,2.32,,pcm_s16le,44100.0,2.0,,,,,,
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P.pdf,Pdf/IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P.pdf,Document,pdf,application/pdf,66534,64.97,0.06,,,,,,,,6.0,6653.0,,,,
Data Join vs Data Blending.docx,Docx/Docx/Data Join vs Data Blending.docx,Document,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,36835,35.97,0.04,,,,,,,,,36835.0,,,,
KQKKOFZRA2MSM7S4EEGOTH2CPEJOUNWD.pdf,Pdf/KQKKOFZRA2MSM7S4EEGOTH2CPEJOUNWD.pdf,Document,pdf,application/pdf,27760,27.11,0.03,,,,,,,,3.0,2776.0,,,,
92179394.java,code/1404/B/92179394.java,Code,java,text/x-java-source,2278,2.22,0.0,,,,,,,,,,156.0,2200.0,0.0,84.0
125071173.java,code/1549/D/125071173.java,Code,java,text/x-java-source,10076,9.84,0.01,,,,,,,,,,729.0,9712.0,17.0,421.0
178811913.py,code/178811913.py,Code,py,text/x-python,1323,1.29,0.0,,,,,,,,,,102.0,1272.0,4.0,55.0
e666bebd9a30492fb9ca052e0f7d0841a5920f4d.pdf,Pdf/e666bebd9a30492fb9ca052e0f7d0841a5920f4d.pdf,Document,pdf,application/pdf,14421269,14083.27,13.75,,,,,,,,1.0,50000.0,,,,
357.wav,audio/357.wav,Audio,wav,audio/wav,580652,567.04,0.55,,,3.29,,pcm_s16le,44100.0,2.0,,,,,,
Screenshot (470).png,images/Screenshot (470).png,Image,png,image/png,126412,123.45,0.12,1920.0,1080.0,,,,,,,,,,,
PFYC6E5GGQLD2ON3WMS63OO5DERTOC5G.pdf,Pdf/PFYC6E5GGQLD2ON3WMS63OO5DERTOC5G.pdf,Document,pdf,application/pdf,39368,38.45,0.04,,,,,,,,1.0,3936.0,,,,
191765565.py,code/191765565.py,Code,py,text/x-python,669,0.65,0.0,,,,,,,,,,57.0,641.0,2.0,35.0
video_008.mp4,Video/video_008.mp4,Video,mp4,video/mp4,13213086,12903.4,12.6,1920.0,1036.0,29.99,23.98,,,,,,,,,
JYMSHAQOPOCHYVWZYLPSNQYDNAGMT5DR.pdf,Pdf/JYMSHAQOPOCHYVWZYLPSNQYDNAGMT5DR.pdf,Document,pdf,application/pdf,241261,235.61,0.23,,,,,,,,3.0,24126.0,,,,
MG64TNXHW4FTW3UTMAX6PXK5AZ5MMO5X.doc,Doc/Doc/MG64TNXHW4FTW3UTMAX6PXK5AZ5MMO5X.doc,Document,doc,application/msword,38288,37.39,0.04,,,,,,,,,38288.0,,,,
163087768.java,code/1534/C/163087768.java,Code,java,text/x-java-source,2193,2.14,0.0,,,,,,,,,,164.0,2111.0,1.0,89.0
rdc_mouvement_de_population_retournee_septembre_2023.docx,Docx/Docx/rdc_mouvement_de_population_retournee_septembre_2023.docx,Document,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,861292,841.11,0.82,,,,,,,,,861292.0,,,,
20.wav,audio/20.wav,Audio,wav,audio/wav,1880122,1836.06,1.79,,,2.66,,pcm_f64le,44100.0,2.0,,,,,,
Screenshot (736).png,images/Screenshot (736).png,Image,png,image/png,134853,131.69,0.13,1920.0,1080.0,,,,,,,,,,,
M3JC5LYIW5JUNGMUE4FIXGDYFEUABDJK.pdf,Pdf/M3JC5LYIW5JUNGMUE4FIXGDYFEUABDJK.pdf,Document,pdf,application/pdf,240208,234.58,0.23,,,,,,,,2.0,24020.0,,,,
ZEUIAARRTYABYRX2TMCK5AHQO6AIOQXM.pdf,Pdf/ZEUIAARRTYABYRX2TMCK5AHQO6AIOQXM.pdf,Document,pdf,application/pdf,2808554,2742.73,2.68,,,,,,,,4.0,50000.0,,,,
118474914.py,code/1535/E/118474914.py,Code,py,text/x-python,1716,1.68,0.0,,,,,,,,,,61.0,1686.0,0.0,30.0
video_052.mp4,Video/video_052.mp4,Video,mp4,video/mp4,13845075,13520.58,13.2,1920.0,1036.0,29.99,23.98,,,,,,,,,
12851f0053449570257ff3dfe552621a8dd63d53.docx,Docx/Docx/12851f0053449570257ff3dfe552621a8dd63d53.docx,Document,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,173597,169.53,0.17,,,,,,,,,173597.0,,,,
ULCLOMI3UKLP64SCVDH4CHNACUNJWMNC.pdf,Pdf/ULCLOMI3UKLP64SCVDH4CHNACUNJWMNC.pdf,Document,pdf,application/pdf,43986,42.96,0.04,,,,,,,,1.0,4398.0,,,,
92175857.java,code/1404/B/92175857.java,Code,java,text/x-java-source,2313,2.26,0.0,,,,,,,,,,157.0,2235.0,0.0,84.0
HOR7BQTQAFIPH2Z5TCKEJ5FZCCV7MZBO.pdf,Pdf/HOR7BQTQAFIPH2Z5TCKEJ5FZCCV7MZBO.pdf,Document,pdf,application/pdf,2784,2.72,0.0,,,,,,,,3.0,278.0,,,,
154597177.java,code/154597177.java,Code,java,text/x-java-source,7180,7.01,0.01,,,,,,,,,,476.0,6942.0,2.0,295.0
GWYYEO7BT54SUYBU7M4232GNAWWV6IOX.docx,Docx/Docx/GWYYEO7BT54SUYBU7M4232GNAWWV6IOX.docx,Document,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,190837,186.36,0.18,,,,,,,,,190837.0,,,,
191770305.cpp,code/191770305.cpp,Code,cpp,text/x-c++,3870,3.78,0.0,,,,,,,,,,286.0,3725.0,24.0,165.0
6MPUNFSLSFKNLOGE2I6WRELWSJOF27UK.pdf,Pdf/6MPUNFSLSFKNLOGE2I6WRELWSJOF27UK.pdf,Document,pdf,application/pdf,36212,35.36,0.03,,,,,,,,1.0,3621.0,,,,
Screenshot (468).png,images/Screenshot (468).png,Image,png,image/png,137414,134.19,0.13,1920.0,1080.0,,,,,,,,,,,
143538536.java,code/1463/C/143538536.java,Code,java,text/x-java-source,3289,3.21,0.0,,,,,,,,,,303.0,3138.0,8.0,167.0
BYVMYNJSMFL7V7VYYCQ566SBR2HTWF5C.pdf,Pdf/BYVMYNJSMFL7V7VYYCQ566SBR2HTWF5C.pdf,Document,pdf,application/pdf,63033,61.56,0.06,,,,,,,,1.0,6303.0,,,,
166.wav,audio/166.wav,Audio,wav,audio/wav,571436,558.04,0.54,,,3.24,,pcm_s16le,44100.0,2.0,,,,,,
73881006.java,code/73881006.java,Code,java,text/x-java-source,5160,5.04,0.0,,,,,,,,,,196.0,4964.0,4.0,21.0
96.wav,audio/96.wav,Audio,wav,audio/wav,423980,414.04,0.4,,,2.4,,pcm_s16le,44100.0,2.0,,,,,,
Screenshot (486).png,images/Screenshot (486).png,Image,png,image/png,1024555,1000.54,0.98,1920.0,1080.0,,,,,,,,,,,
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL.pdf,Pdf/5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL.pdf,Document,pdf,application/pdf,2137,2.09,0.0,,,,,,,,2.0,213.0,,,,
194079178.cpp,code/194079178.cpp,Code,cpp,text/x-c++,1043,1.02,0.0,,,,,,,,,,109.0,989.0,6.0,62.0
162603556.java,code/162603556.java,Code,java,text/x-java-source,3979,3.89,0.0,,,,,,,,,,312.0,3823.0,3.0,188.0
189.wav,audio/189.wav,Audio,wav,audio/wav,576044,562.54,0.55,,,3.27,,pcm_s16le,44100.0,2.0,,,,,,
158280762.cpp,code/1465/A/158280762.cpp,Code,cpp,text/x-c++,4322,4.22,0.0,,,,,,,,,,148.0,4131.0,39.0,12.0
166714492.cpp,code/1427/A/166714492.cpp,Code,cpp,text/x-c++,3852,3.76,0.0,,,,,,,,,,343.0,3519.0,94.0,178.0
166032905.java,code/1466/C/166032905.java,Code,java,text/x-java-source,15437,15.08,0.01,,,,,,,,,,998.0,14938.0,80.0,585.0
Screenshot (451).png,images/Screenshot (451).png,Image,png,image/png,287054,280.33,0.27,1920.0,1080.0,,,,,,,,,,,
Screenshot (530).png,images/Screenshot (530).png,Image,png,image/png,205030,200.22,0.2,1920.0,1080.0,,,,,,,,,,,
O6K6RC2TPUGKD4NJLXH6KUVRELRT5PWG.pdf,Pdf/O6K6RC2TPUGKD4NJLXH6KUVRELRT5PWG.pdf,Document,pdf,application/pdf,460421,449.63,0.44,,,,,,,,2.0,46042.0,,,,
