file_size_mb,file_extension,upload_frequency,uploads_last_hour,uploads_last_24h,user_file_count,access_count,unique_ip_count,account_age_days,label
105.03,zip,9.82,1,10,85,14,1,270,Normal
17.65,js,17.61,8,38,701,22,2,265,Normal
0.81,png,3.38,1,4,128,5,2,180,Normal
7.28,pdf,1.45,1,5,46,3,1,297,Normal
36.23,py,11.83,12,48,324,22,1,260,Normal
222.84,jpg,13.33,1,9,158,11,3,171,Normal
1.29,pdf,2.77,0,8,128,7,2,166,Normal
1.3,docx,2.62,1,5,184,3,1,137,Normal
0.17,txt,0.11,2,7,147,3,1,123,Normal
7.39,png,8.95,15,39,275,22,5,229,Suspicious
1.51,py,23.09,5,41,517,18,5,524,Normal
6.52,docx,5.94,0,3,136,4,1,54,Normal
0.4,xlsx,3.63,0,5,78,3,1,222,Normal
3.24,jpg,2.02,1,3,120,5,1,159,Normal
10.32,exe,17.93,5,14,62,14,3,78,Suspicious
10.15,png,3.69,4,11,133,5,1,242,Normal
13.69,py,24.12,2,34,503,23,3,184,Normal
157.74,mp4,6.5,1,18,142,21,2,423,Normal
25.19,jpg,33.12,54,134,63,20,3,52,Suspicious
5.56,jpg,11.6,2,6,5,7,1,0,Normal
1.28,pdf,2.02,4,9,43,4,2,116,Normal
2.45,py,11.65,0,7,2,7,1,6,Normal
9.21,pdf,5.01,2,6,3,10,3,2,Normal
5.92,docx,0.5,0,3,115,3,1,187,Normal
0.72,pdf,33.53,15,31,529,24,3,130,Normal
4.88,pdf,10.98,7,24,320,48,8,347,Suspicious
61.41,docx,23.6,4,16,179,48,3,235,Suspicious
3.91,pdf,1.68,1,6,55,6,1,89,Normal
4.13,pdf,0.55,0,7,174,4,1,210,Normal
2.21,docx,2.65,0,3,86,6,2,211,Normal
2.84,png,4.91,0,3,39,2,1,99,Normal
5.7,js,29.81,25,71,405,32,1,343,Normal
1.16,jpg,1.56,2,4,21,5,3,250,Normal
48.75,docx,17.26,7,41,165,37,4,672,Suspicious
43.47,wav,6.09,5,21,407,16,2,41,Normal
22.4,json,23.75,16,53,1296,15,3,272,Normal
4.68,jpg,4.86,1,7,79,6,1,93,Normal
0.29,txt,3.92,0,4,88,3,1,470,Normal
4.96,txt,4.3,1,3,92,6,1,77,Normal
55.91,wav,10.0,5,19,486,12,1,121,Normal
0.79,txt,5.71,1,3,30,4,2,94,Normal
4.16,png,4.89,0,6,208,5,1,78,Normal
11.88,pdf,4.98,2,4,76,5,1,217,Normal
1.3,txt,3.58,1,6,121,4,2,224,Normal
7.92,zip,7.65,2,9,6,10,1,7,Normal
9.45,pdf,4.53,2,5,36,4,1,189,Normal
30.44,pdf,18.81,2,56,367,24,1,332,Normal
2.09,pdf,2.05,0,1,9,5,2,5,Normal
26.41,pdf,13.84,4,16,396,22,5,571,Suspicious
1.15,png,16.61,12,50,459,17,2,241,Normal
0.8,py,23.63,8,50,104,29,2,165,Normal
0.85,pdf,1.65,3,11,63,8,3,139,Normal
0.57,docx,3.61,0,2,37,7,1,204,Normal
5.25,pdf,29.21,11,48,647,19,1,225,Normal
1.02,pdf,5.33,3,7,58,5,3,59,Normal
314.96,docx,19.97,18,41,250,57,4,186,Suspicious
9.02,zip,21.95,17,34,316,19,1,353,Normal
3.97,png,3.36,0,5,89,3,3,133,Normal
7.29,png,52.87,35,179,17,64,7,27,Suspicious
17.79,py,26.1,13,37,1499,19,1,386,Normal
17.98,sh,21.0,13,27,561,27,1,302,Normal
5.36,sh,12.47,20,53,399,24,2,93,Normal
6.92,py,30.85,7,53,413,31,2,263,Normal
5.26,pdf,1.89,0,6,6,6,1,4,Normal
1.08,js,5.71,6,29,237,16,1,392,Normal
289.85,mp4,4.45,3,13,89,13,1,137,Normal
2.95,txt,1.42,3,9,135,6,1,199,Normal
1.17,xlsx,2.68,0,3,55,4,1,224,Normal
2.42,png,5.16,0,5,126,7,1,243,Normal
2.21,docx,2.57,0,6,67,3,1,218,Normal
0.11,jpg,2.6,1,5,70,1,2,157,Normal
1.41,zip,28.33,14,45,382,52,3,311,Suspicious
7.98,vbs,7.47,2,11,49,13,4,89,Suspicious
4.17,xlsx,3.37,1,6,66,3,1,156,Normal
15.5,png,6.05,0,4,111,5,1,150,Normal
2.7,png,3.77,3,8,124,4,2,227,Normal
1.52,csv,27.08,14,59,574,29,2,191,Normal
43.41,zip,18.7,6,23,224,11,1,88,Suspicious
13.47,py,5.83,16,40,493,20,3,236,Normal
0.3,jpg,0.8,0,0,74,3,1,112,Normal
0.16,py,19.72,8,30,439,24,2,237,Normal
3.27,jpg,4.59,0,5,87,4,1,185,Normal
2.49,docx,6.14,1,4,93,5,1,414,Normal
13.36,js,4.27,9,36,369,22,3,266,Normal
1.45,txt,1.02,1,7,38,9,1,252,Normal
1.93,zip,9.38,9,39,224,24,2,305,Normal
6.2,txt,4.44,1,7,130,2,1,154,Normal
4.79,py,28.32,5,42,1307,23,2,191,Normal
2.83,pdf,4.8,2,7,3,7,1,4,Normal
160.89,mp4,22.15,6,64,65,43,3,319,Suspicious
1.7,docx,5.09,0,4,121,7,1,249,Normal
4.39,pdf,0.1,1,3,88,6,2,235,Normal
110.55,mp4,17.91,3,15,336,11,1,195,Normal
0.9,docx,2.77,1,7,146,3,1,181,Normal
20.86,py,21.86,15,27,87,21,2,84,Normal
4.47,js,11.79,7,34,107,19,1,466,Normal
35.9,py,29.28,15,46,169,18,5,751,Suspicious
3.23,docx,12.07,1,8,7,5,1,7,Normal
336.92,mp4,11.19,4,15,217,18,1,104,Normal
4.86,txt,5.11,1,8,34,4,1,132,Normal
0.35,docx,6.6,0,10,3,10,3,0,Normal
5.88,png,6.88,1,6,6,14,1,9,Normal
1.22,png,4.45,0,4,182,4,1,64,Normal
