feature,importance
mime_type_image/png,0.1052755167688375
extension_png,0.09857389573423238
codec_missing,0.08292067422057364
file_size_kb,0.08170194576601171
file_size_bytes,0.07379317945670257
duration_seconds,0.07213995979385149
mime_type_audio/wav,0.06694863991863997
file_size_mb,0.06203454302533824
extension_wav,0.06185071957717955
mime_type_video/mp4,0.05154764719788051
extension_mp4,0.05136538723605421
height,0.03245202752501975
mime_type_application/pdf,0.029033291847666145
text_length,0.02488719289293039
extension_pdf,0.02255224676783705
line_count,0.015338890799548638
character_count,0.011234204198988126
blank_line_count,0.011218123990150028
comment_line_count,0.010650366760572409
codec_pcm_s16le,0.008581423098969957
extension_docx,0.0044731102604553055
page_count,0.0030867854165700015
mime_type_application/msword,0.002848909906609064
mime_type_application/vnd.openxmlformats-officedocument.wordprocessingml.document,0.0027891664766829796
extension_cpp,0.002364479577382102
mime_type_text/x-c++,0.002241056788158581
extension_java,0.0018498215332267054
extension_py,0.0017115883643045867
extension_doc,0.0012539112582570391
mime_type_text/x-java-source,0.0011926597889234626
codec_pcm_f64le,0.0010466020303778378
mime_type_text/x-python,0.0009513202786807812
fps,9.07117433872674e-05
width,0.0
sample_rate,0.0
channels,0.0
